Product Name,Specifications,Rating,Price,Product URL,Battery Life,Weight,Webcam,Display Size
Acer Predator Helios 16 Intel Core i9 14th Gen 14900HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphic...,Intel Core i9 Processor (14th Gen)32 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display1 Year International Travelers Warranty (ITW),4.4,"₹2,34,990₹2,56,9998% off",https://www.flipkart.com/acer-predator-helios-16-intel-core-i9-14th-gen-14900hx-32-gb-1-tb-ssd-windows-11-home-12-gb-graphics-nvidia-geforce-rtx-4080-ph16-72-gaming-laptop/p/itm34f68c296ce65?pid=COMGYSFGUBASFDY6&lid=LSTCOMGYSFGUBASFDY6RATW51&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_9_215&otracker=search&fm=organic&iid=b6e4bd0f-ba3b-4c68-b194-3106964e0716.COMGYSFGUBASFDY6.SEARCH&ppt=pp&ppn=pp&ssid=6rm026asnk0000001746681425043&qH=312f91285e048e09,Not found,2.65 Kg,UFC with Narrow USB HD camera with Blue Glass lens with 1920 x 1080 resolution and 1080p HD video at 60 fps with Temporal Noise Reduction with Dual Mic,40.64 cm (16 Inch)
Apple 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited WarraÂ­nty",4.7,"₹59,990₹89,90033% off",https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmec35accf62a2f?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_9_216&otracker=search&fm=organic&iid=b6e4bd0f-ba3b-4c68-b194-3106964e0716.COMFXEKMGNHZYFH9.SEARCH&ppt=pp&ppn=pp&ssid=6rm026asnk0000001746681425043&qH=312f91285e048e09,Warranty Summary,1.29 kg,Keyboard,33.78 cm (13.3 inch)
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windows 11 Home) Slim 5 Thin and...,Intel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD35.56 cm (14 inch) DisplayOffice Home 20241 Year Carry-in Warranty,Not found,"₹97,290",https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-13th-gen-13420h-16-gb-1-tb-ssd-windows-11-home-thin-light-laptop/p/itm2225ca67c1b2e?pid=COMHAF73KBHEEFJS&lid=LSTCOMHAF73KBHEEFJS1HR3AF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_10_217&otracker=search&fm=organic&iid=en_01h1RELAye4orfECRcbjoywrh3po9lQzXynI51NDpMglvrjKrJoh1dgTrjFbvHKH5pXvrB59ExSB68Yg_GlwtfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=pp&ppn=pp&ssid=j72ebh0ya80000001746681503600&qH=312f91285e048e09,Integrated 60Wh,1.39 Kg,"FHD 1080p + IR with Privacy Shutter, ToF Sensor",35.56 cm (14 inch)
MOTOROLA Motobook 60 Full Metal Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Windows 11 Home) 14IR...,Intel Core 7 (Series 2) Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayOffice Home 20241 Year Onsite Warranty,4.2,"₹70,990₹1,04,89032% off",https://www.flipkart.com/motorola-motobook-60-full-metal-intel-core-7-series-2-240h-16-gb-512-gb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itmf0b4d7c55543d?pid=COMHAUZWUZNATFET&lid=LSTCOMHAUZWUZNATFETMS2VMV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_10_218&otracker=search&fm=organic&iid=en_01h1RELAye4orfECRcbjoywrh3po9lQzXynI51NDpMjQ1dsaNyeLJgzp-tYwI6dUvjHQjH2F7Wa_hZ9mwR7lGPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=pp&ppn=pp&ssid=j72ebh0ya80000001746681503600&qH=312f91285e048e09,Lithium-Polymer,1.4 Kg,Finger Print Sensor,35.56 cm (14 Inch)
DELL 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop,"Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMy Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Warranty",4.1,"₹43,590₹62,41530% off",https://www.flipkart.com/dell-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-3520-thin-light-laptop/p/itm68eb02f2bb17d?pid=COMH8EPFD8X9WXDZ&lid=LSTCOMH8EPFD8X9WXDZNC7PB1&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_10_219&otracker=search&fm=organic&iid=5a27e501-1b12-45c2-9b8c-d4a241264b67.COMH8EPFD8X9WXDZ.SEARCH&ppt=pp&ppn=pp&ssid=j72ebh0ya80000001746681503600&qH=312f91285e048e09,Up to 7 Hrs*,1.69 Kg,Not found,39.62 cm (15.6 Inch)
ASUS Vivobook 16 (2025) with Office 2024 + M365 Basic* Intel Core i5 13th Gen 13420H - (16 GB/512 GB S...,"Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD40.64 cm (16 inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year1 Year Onsite Warranty",Not found,"₹54,990₹72,99024% off",https://www.flipkart.com/asus-vivobook-16-2025-office-2024-m365-basic-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-x1605va-mb1627ws-thin-light-laptop/p/itmb2fe39ab9e4a1?pid=COMH9SJ9CF9DSGXF&lid=LSTCOMH9SJ9CF9DSGXF8IEPGJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_10_220&otracker=search&fm=organic&iid=5a27e501-1b12-45c2-9b8c-d4a241264b67.COMH9SJ9CF9DSGXF.SEARCH&ppt=pp&ppn=pp&ssid=j72ebh0ya80000001746681503600&qH=312f91285e048e09,3-cell,1.88 Kg,720p HD camera with privacy shutter,40.64 cm (16 inch)
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0154AU Thin and Ligh...,AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2,"₹29,990₹45,99534% off",https://www.flipkart.com/hp-15-2024-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15-fc0154au-thin-light-laptop/p/itm341b4714ead99?pid=COMH56DFUBTUMXRH&lid=LSTCOMH56DFUBTUMXRHUIRDZB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_10_221&otracker=search&fm=organic&iid=en_01h1RELAye4orfECRcbjoywrh3po9lQzXynI51NDpMhwbm6EqQbV4a32L2x4Gs3Bqo5DNM0xuFErKIWvpOmwDQ%3D%3D&ppt=pp&ppn=pp&ssid=j72ebh0ya80000001746681503600&qH=312f91285e048e09,Not found,1.59 Kg,HP True Vision 1080p FHD camera,39.62 cm (15.6 Inch)
MOTOROLA Motobook 60 Full Metal Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Windows 11 Home) 14IR...,Intel Core 5 (Series 2) Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayOffice Home 20241 Year Onsite Warranty,4.4,"₹62,990₹93,69032% off",https://www.flipkart.com/motorola-motobook-60-full-metal-intel-core-5-series-2-210h-16-gb-512-gb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itme7b254581c42e?pid=COMHAUZW4MMNNCGT&lid=LSTCOMHAUZW4MMNNCGTEVATRK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_10_222&otracker=search&fm=organic&iid=en_01h1RELAye4orfECRcbjoywrh3po9lQzXynI51NDpMhXno13zA2KXfwHeQmPjXY7QcIOIKXgn8GoOny_GImeQPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=pp&ppn=pp&ssid=j72ebh0ya80000001746681503600&qH=312f91285e048e09,Lithium-Polymer,1.4 Kg,Finger Print Sensor,35.56 cm (14 Inch)
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Hom...",Intel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Hardware Service,4.2,"₹47,990₹65,97327% off",https://www.flipkart.com/dell-inspiron-15-backlit-keyboard-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-new-laptop-thin-light/p/itm23d84e15561c4?pid=COMGJ75HN66KHZYB&lid=LSTCOMGJ75HN66KHZYBIR9NGN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_10_223&otracker=search&fm=organic&iid=5a27e501-1b12-45c2-9b8c-d4a241264b67.COMGJ75HN66KHZYB.SEARCH&ppt=pp&ppn=pp&ssid=j72ebh0ya80000001746681503600&qH=312f91285e048e09,MS Office Provided,1.65 Kg,HD,39.62 cm (15.6 Inch)
ASUS ROG Ally AMD Ryzen Z1 Octa Core Extreme - (16 GB/512 GB SSD/Windows 11 Home) RC71L-NH001W Handhel...,AMD Ryzen Z1 Octa Core Processor16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD17.78 cm (7 Inch) Touchscreen Display3 months Xbox Game Pass Ultimate Subscription Included1 Year Onsite Warranty,4.4,"₹39,490₹83,99052% off",https://www.flipkart.com/asus-rog-ally-amd-ryzen-z1-octa-core-extreme-16-gb-512-gb-ssd-windows-11-home-rc71l-nh001w-handheld-gaming-pc/p/itmb78a936e4a671?pid=COMGQKQ7GGNFR8N4&lid=LSTCOMGQKQ7GGNFR8N4RTUGBT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_10_224&otracker=search&fm=organic&iid=5a27e501-1b12-45c2-9b8c-d4a241264b67.COMGQKQ7GGNFR8N4.SEARCH&ppt=pp&ppn=pp&ssid=j72ebh0ya80000001746681503600&qH=312f91285e048e09,Warranty Summary,1.7 kg,Not found,17.78 cm (7 Inch)
